input,response,tag
hello,hello! how are you today!,greetings
hey,hello! how are you today!,greetings
hi,hello! how are you today!,greetings
good day,hello! how are you today!,greetings
greetings,hello! how are you today!,greetings
what's up?,hello! how are you today!,greetings
how is it going,hello! how are you today!,greetings
cya,talk to you later!,goodbye
see you later,talk to you later!,goodbye
goodbye,talk to you later!,goodbye
have a good day,talk to you later!,goodbye
bye,talk to you later!,goodbye
i am leaving,talk to you later!,goodbye
how do i cope with 'never being good enough?',"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
i'm always told i'm not good enough or trying hard enough.,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
i put my all in to every thing.,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
"i'm worn out, i've worked on all of my family relationships, i'm doing great in school, i'm kind to those in need and otherwise. i stick to my religious beliefs and leave room for mistakes and learn from others so i don't have to make as many and the ones i do i learn from.","a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
"somehow it's still not good enough and nothing i do works. nothing has changed, and i feel hopeless. any suggestions or ideas?","a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
i feel like i failed myself,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
i sometimes i feel like i hate myself,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
i feel like i hate myself physically and emotionally sometimes.,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
